총역수,552
P124,별내
P125,퇴계원
P126,사릉
P127,금곡
P128,평내호평
P129,묵현
P130,마석
P131,대성리
P132,청평
P133,상천
P134,가평
P135,굴봉산
P136,백양리
P137,강촌
P138,김유정
P139,남춘천
P140,춘천
P313,서울역
P314,신촌
K315,가좌
K316,디지털미디어시티
K317,수색
K318,화전
K320,행신
K321,능곡
K322,대곡
K323,곡산
K324,백마
K325,풍산
K326,일산
K327,탄현
K329,운정
K330,금릉
K331,금촌
K333,월롱
K334,파주
K335,문산
A01,서울역
A02,공덕
A03,홍대입구
A04,디지털미디어시티
A05,김포공항
A06,계양
A07,검암
A08,운서
A09,공항화물청사
A10,인천국제공항
